ID,Date,Date,Category,Category ID,Exercise Name,Exercise ID,Weight (lbs),Sets,Reps,Volume (lbs),Workout ID,Workout Type,Workout Type ID,E1RM
111,6/19/2022,2022-06-19,Push,1,Flat Bench Press,1,185,5,5,4625,50,Strength,1,215.8333333
112,6/20/2022,2022-06-20,Pull,2,Deadlift,4,135,1,5,675,51,Strength,1,157.5
113,6/20/2022,2022-06-20,Pull,2,Deadlift,4,225,1,5,1125,51,Strength,1,262.5
114,6/20/2022,2022-06-20,Pull,2,Deadlift,4,315,5,5,7875,51,Strength,1,367.5
115,6/21/2022,2022-06-21,Legs,3,Barbell Squat,7,135,1,5,675,52,Strength,1,157.5
116,6/21/2022,2022-06-21,Legs,3,Barbell Squat,7,225,2,5,2250,52,Strength,1,262.5
117,6/21/2022,2022-06-21,Legs,3,Barbell Squat,7,275,1,3,675,52,Strength,1,302.5
118,6/22/2022,2022-06-22,Push,1,Overhead Press,3,45,1,8,360,53,Strength,1,57
119,6/22/2022,2022-06-22,Push,1,Overhead Press,3,75,1,5,375,53,Strength,1,87.5
120,6/22/2022,2022-06-22,Push,1,Overhead Press,3,95,1,3,285,53,Strength,1,104.5
121,6/22/2022,2022-06-22,Push,1,Overhead Press,3,115,1,2,230,53,Strength,1,122.6666667
122,6/22/2022,2022-06-22,Push,1,Overhead Press,3,135,1,1,135,53,Strength,1,139.5
123,6/23/2022,2022-06-23,Pull,2,Barbell Row,6,135,4,6,3240,54,Strength,1,162
124,6/24/2022,2022-06-24,Rest,0,Rest,0,0,0,0,0,55,Rest,0,0
125,6/25/2022,2022-06-25,Rest,0,Rest,0,0,0,0,0,56,Rest,0,0
126,6/26/2022,2022-06-26,Push,1,Incline Bench Press,2,45,1,8,360,57,Strength,1,57
127,6/26/2022,2022-06-26,Push,1,Incline Bench Press,2,95,1,5,475,57,Strength,1,110.8333333
128,6/26/2022,2022-06-26,Push,1,Incline Bench Press,2,135,3,5,2025,57,Strength,1,157.5
129,6/27/2022,2022-06-27,Pull,2,Deadlift,4,135,1,5,675,58,Strength,1,157.5
130,6/27/2022,2022-06-27,Pull,2,Deadlift,4,225,1,5,1125,58,Strength,1,262.5
131,6/27/2022,2022-06-27,Pull,2,Deadlift,4,315,3,5,4725,58,Strength,1,367.5
132,6/28/2022,2022-06-28,Legs,3,Barbell Squat,7,135,1,8,1080,59,Strength,1,171
133,6/28/2022,2022-06-28,Legs,3,Barbell Squat,7,225,2,5,2250,59,Strength,1,262.5
134,6/28/2022,2022-06-28,Legs,3,Barbell Squat,7,275,1,3,675,59,Strength,1,302.5
135,6/28/2022,2022-06-28,Legs,3,Barbell Squat,7,295,1,2,550,59,Strength,1,314.6666667
136,6/29/2022,2022-06-29,Push,1,Overhead Press,3,45,1,8,360,60,Strength,1,57
137,6/29/2022,2022-06-29,Push,1,Overhead Press,3,75,1,6,450,60,Strength,1,90
138,6/29/2022,2022-06-29,Push,1,Overhead Press,3,95,3,6,1710,60,Strength,1,114
139,6/30/2022,2022-06-30,Pull,2,Barbell Row,6,135,4,6,3240,61,Strength,1,162
140,7/1/2022,2022-07-01,Rest,0,Rest,0,0,0,0,0,62,Rest,0,0
141,7/2/2022,2022-07-02,Rest,0,Rest,0,0,0,0,0,63,Rest,0,0
142,7/3/2022,2022-07-03,Push,1,Flat Bench Press,1,45,1,8,360,64,Strength,1,57
143,7/3/2022,2022-07-03,Push,1,Flat Bench Press,1,135,1,5,675,64,Strength,1,157.5
144,7/3/2022,2022-07-03,Push,1,Flat Bench Press,1,195,3,5,2925,64,Strength,1,227.5
145,7/4/2022,2022-07-04,Pull,2,Deadlift,4,135,1,5,675,65,Strength,1,157.5
146,7/4/2022,2022-07-04,Pull,2,Deadlift,4,225,1,5,1125,65,Strength,1,262.5
147,7/4/2022,2022-07-04,Pull,2,Deadlift,4,315,3,5,4725,65,Strength,1,367.5
148,7/5/2022,2022-07-05,Legs,3,Barbell Squat,7,135,1,8,1080,66,Strength,1,171
149,7/5/2022,2022-07-05,Legs,3,Barbell Squat,7,225,1,5,1125,66,Strength,1,262.5
150,7/5/2022,2022-07-05,Legs,3,Barbell Squat,7,275,1,3,675,66,Strength,1,302.5
151,7/5/2022,2022-07-05,Legs,3,Barbell Squat,7,295,1,1,275,66,Strength,1,304.8333333
152,7/5/2022,2022-07-05,Legs,3,Barbell Squat,7,315,1,1,295,66,Strength,1,325.5
153,7/6/2022,2022-07-06,Push,1,Overhead Press,3,45,1,8,360,67,Strength,1,57
154,7/6/2022,2022-07-06,Push,1,Overhead Press,3,75,1,6,450,67,Strength,1,90
155,7/6/2022,2022-07-06,Push,1,Overhead Press,3,95,3,6,1710,67,Strength,1,114
156,7/7/2022,2022-07-07,Pull,2,Barbell Row,6,135,4,6,3240,68,Strength,1,162
157,7/8/2022,2022-07-08,Rest,0,Rest,0,0,0,0,0,69,Rest,0,0
158,7/9/2022,2022-07-09,Rest,0,Rest,0,0,0,0,0,70,Rest,0,0
159,7/10/2022,2022-07-10,Push,1,Incline Bench Press,2,45,1,8,360,71,Strength,1,57
160,7/10/2022,2022-07-10,Push,1,Incline Bench Press,2,95,1,5,475,71,Strength,1,110.8333333
161,7/10/2022,2022-07-10,Push,1,Incline Bench Press,2,145,3,5,2175,71,Strength,1,169.1666667
162,7/11/2022,2022-07-11,Pull,2,Deadlift,4,135,1,5,675,72,Strength,1,157.5
163,7/11/2022,2022-07-11,Pull,2,Deadlift,4,225,1,5,1125,72,Strength,1,262.5
164,7/11/2022,2022-07-11,Pull,2,Deadlift,4,315,3,5,4725,72,Strength,1,367.5
165,7/12/2022,2022-07-12,Legs,3,Barbell Squat,7,135,1,8,1080,73,Strength,1,171
166,7/12/2022,2022-07-12,Legs,3,Barbell Squat,7,225,2,8,3600,73,Strength,1,285
167,7/12/2022,2022-07-12,Legs,3,Barbell Squat,7,275,1,5,675,73,Strength,1,320.8333333
168,7/12/2022,2022-07-12,Legs,3,Barbell Squat,7,295,1,2,590,73,Strength,1,314.6666667
169,7/13/2022,2022-07-13,Push,1,Overhead Press,3,45,1,8,360,74,Strength,1,57
170,7/13/2022,2022-07-13,Push,1,Overhead Press,3,95,1,6,570,74,Strength,1,114
171,7/13/2022,2022-07-13,Push,1,Overhead Press,3,115,3,6,2070,74,Strength,1,138
172,7/14/2022,2022-07-14,Pull,2,Barbell Row,6,135,4,6,3240,75,Strength,1,162
173,7/15/2022,2022-07-15,Rest,0,Rest,0,0,0,0,0,76,Rest,0,0
174,7/16/2022,2022-07-16,Rest,0,Rest,0,0,0,0,0,77,Rest,0,0
175,7/17/2022,2022-07-17,Push,1,Flat Bench Press,1,45,1,8,360,78,Strength,1,57
176,7/17/2022,2022-07-17,Push,1,Flat Bench Press,1,135,1,5,675,78,Strength,1,157.5
