Date,Category,Category ID,Exercise,Exercise ID,Weight,Sets,Reps,VOLUME,Hypertrophy/Strength,Workout Type ID,E1RM,E1RM %,,Category,Category ID
2/22/2023,Legs,3,Barbell Squat,7,315,1,5,1575,Strength,1,367.5,85.71428571,,,
2/22/2023,Legs,3,Barbell Squat,7,365,1,3,1095,Strength,1,401.5,90.90909091,,,
2/22/2023,Legs,3,Barbell Squat,7,385,1,3,1155,Strength,1,423.5,90.90909091,,,
2/23/2023,Push,1,Flat Bench Press,1,135,1,8,1080,Strength,1,171,78.94736842,,,
2/23/2023,Push,1,Flat Bench Press,1,185,1,7,1295,Strength,1,228.1666667,81.08108108,,,
2/23/2023,Push,1,Flat Bench Press,1,205,2,6,2460,Strength,1,246,83.33333333,,,
2/23/2023,Push,1,Overhead Press,3,95,1,8,760,Strength,1,120.3333333,78.94736842,,,
2/23/2023,Push,1,Overhead Press,3,135,1,6,810,Strength,1,162,83.33333333,,,
2/23/2023,Push,1,Overhead Press,3,145,2,3,870,Strength,1,159.5,90.90909091,,,
2/24/2023,Pull,2,Barbell Row,6,135,1,8,1080,Strength,1,171,78.94736842,,,
2/24/2023,Pull,2,Barbell Row,6,185,1,8,1480,Strength,1,234.3333333,78.94736842,,,
2/24/2023,Pull,2,Barbell Row,6,205,2,6,2460,Strength,1,246,83.33333333,,,
2/25/2023,Legs,3,Barbell Squat,7,135,1,8,1080,Strength,1,171,78.94736842,,,
2/25/2023,Legs,3,Barbell Squat,7,225,2,8,3600,Strength,1,285,78.94736842,,,
2/25/2023,Legs,3,Barbell Squat,7,315,2,5,3150,Strength,1,367.5,85.71428571,,,
2/25/2023,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
2/25/2023,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
2/26/2023,Rest,0,Rest,0,0,0,0,0,Rest,0,0,#DIV/0!,,,
2/27/2023,Push,1,Incline Bench Press,2,135,1,8,1080,Strength,1,171,78.94736842,,,
2/27/2023,Push,1,Incline Bench Press,2,185,2,6,2220,Strength,1,222,83.33333333,,,
2/27/2023,Push,1,Incline Bench Press,2,195,2,4,1560,Strength,1,221,88.23529412,,,
2/27/2023,Push,1,Overhead Press,3,95,1,8,760,Strength,1,120.3333333,78.94736842,,,
2/27/2023,Push,1,Overhead Press,3,135,1,6,810,Strength,1,162,83.33333333,,,
2/27/2023,Push,1,Overhead Press,3,145,2,3,870,Strength,1,159.5,90.90909091,,,
2/28/2023,Pull,2,Pull Ups,5,180,3,10,5400,Strength,1,240,75,,,
2/28/2023,Pull,2,Pull Ups,5,215,1,6,1290,Strength,1,258,83.33333333,,,
